ID_EVENTO;Data;EVENTO;ARTISTAS;Local/Evento;Local;Endereço;Preço;Companhia;Quem foi;Latitude;Longitude
IDE101;28/07/2019;Show: BRVNKS e menores atos;BRVNKS e menores atos;CCSP;Centro Cultural São Paulo;Rua Vergueiro, 1000 - Paraíso, São Paulo - SP, 01504-000;25;FALSE;Sozinha;-23.5700325;-46.64023039547910
IDE102;13/08/2019;Show: Rubel;Rubel;Teatro Porto Seguro;Teatro Porto Seguro;Alameda Barão de Piracicaba, 740 - Campos Elíseos, São Paulo - SP, 01216-010;40;TRUE;Beatriz;-23.5301977;-46.645411
IDE103;23/08/2019;Show: Silva;Silva;SESC Pompeia;SESC Pompeia;R. Clélia, 93 - Água Branca, São Paulo - SP, 05042-000;9;TRUE;Beatriz;-23.5257729;-46.68352153942080
IDE104;12/09/2019;Show: Selvagens à Procura de Lei;Selvagens à Procura de Lei;CCSP;Centro Cultural São Paulo;Rua Vergueiro, 1000 - Paraíso, São Paulo - SP, 01504-000;25;FALSE;Sozinha;-23.5700325;-46.64023039547910
IDE105;02/11/2019;Show: Vanguart;Vanguart;SESC Belenzinho;SESC Belenzinho;R. Padre Adelino, 1000 - Belenzinho, São Paulo - SP, 03303-000;9;TRUE;Beatriz;-23.544764;-46.5838804
IDE106;08/11/2019;Show: O Terno;O Terno;SESC Pompeia;SESC Pompeia;R. Clélia, 93 - Água Branca, São Paulo - SP, 05042-000;9;FALSE;Sozinha;-23.5257729;-46.68352153942080
IDE107;27/11/2019;Show: Emicida;Emicida;Theatro Municipal;Theatro Municipal São Paulo;Praça Ramos de Azevedo, s/n - República, São Paulo - SP, 01037-010;25;FALSE;Sozinha;-23.54528045;-46.6386378327257
IDE108;05/12/2019;Show: CCXP19;Far From Alaska;Comic Con Experience;Expo Imigrantes;1,5, Rod. dos Imigrantes - Vila Água Funda, 04329-900;0;FALSE;Sozinha;-23.64337205;-46.629625428148200
IDE109;20/12/2019;Show: Tim Bernardes;Tim Bernardes;CCSP;Centro Cultural São Paulo;Rua Vergueiro, 1000 - Paraíso, São Paulo - SP, 01504-000;0;FALSE;Sozinha;-23.5700325;-46.64023039547910
IDE110;09/02/2020;Show: Zimbra;Zimbra;SESC Bom Retiro;SESC Bom Retiro;Alameda Nothmann, 185 - Campos Elíseos, São Paulo - SP, 01216-000;9;FALSE;Sozinha;-23.5310528;-46.64327085
IDE111;23/02/2020;Show: Johnny Hooker;Johnny Hooker;SESC Belenzinho;SESC Belenzinho;R. Padre Adelino, 1000 - Belenzinho, São Paulo - SP, 03303-000;9;FALSE;Sozinha;-23.544764;-46.5838804
IDE112;14/11/2021;Show: Luiza Lian;Luiza Lian;SESC Vila Mariana;SESC Vila Mariana;R. Pelotas, 141 - Vila Mariana, São Paulo - SP, 04012-000;21;FALSE;Sozinha;-23.58246865;-46.64409241726080
IDE113;10/12/2021;Show: Maglore;Maglore;Cine Joia;Cine Joia;Praça Carlos Gomes, 82 - Se, São Paulo - SP, 01501-040;44,8;TRUE;Rafaella;-23.5533484;-46.6358589
IDE114;12/12/2021;Pocket show: Aniversário Av. Paulista;Luedji Luna e Bixiga 70;Sacada do Conjunto Nacional;Conjunto Nacional Avenida Paulista;Av. Paulista, 2073 - Cerqueira César, São Paulo - SP, 01311-300;0;FALSE;Sozinha;-23.5590417;-46.6602397869418
